split,image_id,object_index,object_id,class_name,class_id,difficult,polygon_area_px,bbox_width_px,bbox_height_px,oriented_long_side_px,oriented_short_side_px,orientation_abs_deg,x1,y1,x2,y2,x3,y3,x4,y4,image_width,image_height,image_source,gsd,relative_area_image,aspect_ratio,tile_id,label_index,tile_x,tile_y,tile_size,retained_fraction,clipped_polygon_area_px,tile_x1,tile_y1,tile_x2,tile_y2,tile_x3,tile_y3,tile_x4,tile_y4,tile_instances_for_object,matched_iou,matched_confidence,matched_prediction_index,edge_margin_px,edge_margin_normalized,center_margin_normalized,relative_area_tile,log_aspect_ratio,tile_object_count,is_negative_tile,very_small,detected_iou40,detected_iou50,detected_iou60,size_group,orientation_group,small_area_threshold_train_q25,propensity_score,predicted_outcome_control,predicted_outcome_treated,aipw_score,cate_g_computation,cate_effect_forest,cate_quartile
val,P0027,0,val:P0027:0,harbor,7,0,608.5,35.0,50.0,51.4781494140625,10.770329475402832,60.94539590092286,871.0,315.0,859.0,310.0,884.0,265.0,894.0,269.0,2346,1774,GoogleEarth,0.223671878369,0.0001462106336579,4.779626243712206,P0027__x0_y0,0,0,0,1024,1.0,608.5,871.0,315.0,859.0,310.0,884.0,265.0,894.0,269.0,1,0.0,0.0,-1,130.0,0.126953125,0.1435546875,0.0005803108215332,1.7543390168758863,1,False,0,0,0,0,petit,60-75,0.0005035400390625,0.05,0.3513311994151576,0.4113558951978003,0.4298470109564928,0.0600246957826427,-0.3307239571206524,Q2
val,P0027,1,val:P0027:1,harbor,7,0,683.5,27.0,69.0,68.4105224609375,9.848857879638672,74.74488129694222,1174.0,537.0,1164.0,534.0,1182.0,468.0,1191.0,472.0,2346,1774,GoogleEarth,0.223671878369,0.0001642316649222,6.946036108650529,P0027__x1024_y0,0,1024,0,1024,1.0,683.5,150.0,537.0,140.0,534.0,158.0,468.0,167.0,472.0,1,0.0,0.277847409248352,2,140.0,0.13671875,0.150146484375,0.0006518363952636,2.07267320163712,7,False,0,0,0,0,petit,60-75,0.0005035400390625,0.05,0.3372512481750561,0.3526999519866842,0.3704500176801082,0.0154487038116281,-0.2106507030084454,Q3
val,P0027,2,val:P0027:2,harbor,7,0,1637.0,94.0,86.0,113.35784149169922,13.45362377166748,42.479172092289815,515.0,1108.0,524.0,1118.0,441.0,1194.0,430.0,1183.0,2346,1774,GoogleEarth,0.223671878369,0.000393339042396,8.425822173682603,P0027__x0_y750,0,0,750,1024,1.0,1637.0,515.0,358.0,524.0,368.0,441.0,444.0,430.0,433.0,1,0.4362916946411133,0.7195543646812439,0,358.0,0.349609375,0.391357421875,0.001561164855957,2.2434529628114466,8,False,0,1,0,0,moyen,30-45,0.0005035400390625,0.05,0.3541361346625323,0.3774713241477772,0.3961100680773841,0.0233351894852448,-0.08814508924116671,Q4
val,P0027,23,val:P0027:23,harbor,7,0,989.0,69.0,66.0,84.89994049072266,10.0,40.60129464500449,1939.0,872.0,1932.0,860.0,1995.0,806.0,2001.0,814.0,2346,1774,GoogleEarth,0.223671878369,0.0002376373322722,8.489994049072266,P0027__x1024_y0,1,1024,0,1024,1.0,989.0,915.0,872.0,908.0,860.0,971.0,806.0,977.0,814.0,1,0.0,0.2787535786628723,1,47.0,0.0458984375,0.079345703125,0.0009431838989257,2.2502379855481167,7,False,0,0,0,0,moyen,30-45,0.0005035400390625,0.05,0.3365084879334821,0.3379090882333001,0.3556200612824308,0.0014006002998179,-0.183055545390111,Q3
val,P0027,24,val:P0027:24,harbor,7,0,1395.0,93.0,107.0,132.007568359375,10.0,49.916566006010015,1875.0,838.0,1867.0,832.0,1952.0,731.0,1960.0,739.0,2346,1774,GoogleEarth,0.223671878369,0.0003351911815164,13.2007568359375,P0027__x1024_y0,2,1024,0,1024,1.0,1395.0,851.0,838.0,843.0,832.0,928.0,731.0,936.0,739.0,1,0.3781555593013763,0.5919775366783142,0,88.0,0.0859375,0.13134765625,0.0013303756713867,2.6532952614923686,7,False,0,0,0,0,moyen,45-60,0.0005035400390625,0.05,0.3351532238275981,0.3471389967001609,0.3647786400595082,0.0119857728725627,-0.08437951880153335,Q4
val,P0027,25,val:P0027:25,harbor,7,0,1272.0,48.0,99.0,102.52804565429688,12.369317054748535,69.44395478041653,1828.0,831.0,1816.0,828.0,1852.0,732.0,1864.0,736.0,2346,1774,GoogleEarth,0.223671878369,0.0003056366902429,8.288901092961858,P0027__x1024_y0,3,1024,0,1024,1.0,1272.0,804.0,831.0,792.0,828.0,828.0,732.0,840.0,736.0,1,0.0,0.0,-1,184.0,0.1796875,0.203125,0.0012130737304687,2.2288202565891804,7,False,0,0,0,0,moyen,60-75,0.0005035400390625,0.05,0.3407579374759293,0.3642285332254448,0.3821631615136516,0.0234705957495154,-0.053906023413706844,Q4
val,P0027,26,val:P0027:26,harbor,7,0,1007.5,39.0,96.0,98.08159637451172,9.219544410705566,73.4126614430726,1777.0,794.0,1768.0,792.0,1796.0,698.0,1807.0,701.0,2346,1774,GoogleEarth,0.223671878369,0.0002420825199841,10.6384428563109,P0027__x1024_y0,4,1024,0,1024,1.0,1007.5,753.0,794.0,744.0,792.0,772.0,698.0,783.0,701.0,1,0.0,0.0,-1,230.0,0.224609375,0.2548828125,0.0009608268737792,2.4543136581235654,7,False,0,0,0,0,moyen,60-75,0.0005035400390625,0.05,0.3386257151505011,0.3631851389785742,0.3810075450391269,0.0245594238280731,-0.07175200407733033,Q4
val,P0027,27,val:P0027:27,harbor,7,0,1674.0,44.0,91.0,90.8019790649414,18.439088821411133,73.3611943295737,1687.0,795.0,1669.0,791.0,1695.0,704.0,1713.0,709.0,2346,1774,GoogleEarth,0.223671878369,0.0004022294178197,4.924428747233096,P0027__x1024_y0,5,1024,0,1024,1.0,1674.0,663.0,795.0,645.0,791.0,671.0,704.0,689.0,709.0,1,0.0,0.0,-1,229.0,0.2236328125,0.267822265625,0.001596450805664,1.7790842684039716,7,False,0,0,0,0,moyen,60-75,0.0005035400390625,0.05,0.3497165276529817,0.360809388196785,0.3792155212311525,0.0110928605438033,-0.04924753005809842,Q4
val,P0027,28,val:P0027:28,harbor,7,0,993.0,32.0,93.0,95.34149169921876,10.0,77.27564431457763,1625.0,776.0,1615.0,776.0,1636.0,683.0,1647.0,686.0,2346,1774,GoogleEarth,0.223671878369,0.0002385984539396,9.534149169921877,P0027__x1024_y0,6,1024,0,1024,1.0,993.0,601.0,776.0,591.0,776.0,612.0,683.0,623.0,686.0,1,0.0,0.0,-1,248.0,0.2421875,0.286865234375,0.0009469985961914,2.3546222817661246,7,False,0,0,0,0,moyen,75-90,0.0005035400390625,0.05,0.3428634642873339,0.3668392881922895,0.3848847336810966,0.0239758239049556,-0.20638298749128975,Q3
val,P0027,29,val:P0027:29,harbor,7,0,1954.0,99.0,84.0,113.0707778930664,17.029386520385742,39.217607677635954,477.0,1034.0,488.0,1047.0,401.0,1118.0,389.0,1105.0,2346,1774,GoogleEarth,0.223671878369,0.0004695079345399,6.639744641282896,P0027__x0_y750,7,0,750,1024,1.0,1954.0,477.0,284.0,488.0,297.0,401.0,368.0,389.0,355.0,1,0.0,0.4507675766944885,5,284.0,0.27734375,0.318359375,0.0018634796142578,2.0333641787039864,8,False,0,0,0,0,moyen,30-45,0.0005035400390625,0.05,0.344242847178475,0.3626469826347118,0.3807650272230526,0.0184041354562368,-0.0891257869255205,Q4
val,P0027,3,val:P0027:3,harbor,7,0,1532.5,95.0,82.0,112.0446319580078,13.45362377166748,40.266561669424505,562.0,1160.0,572.0,1170.0,487.0,1242.0,477.0,1233.0,2346,1774,GoogleEarth,0.223671878369,0.0003682297388344,8.328212075765567,P0027__x0_y750,1,0,750,1024,1.0,1532.5,562.0,410.0,572.0,420.0,487.0,492.0,477.0,483.0,1,0.4239798486232757,0.3512753248214721,7,410.0,0.400390625,0.440673828125,0.0014615058898925,2.233043364744799,8,False,0,1,0,0,moyen,30-45,0.0005035400390625,0.05,0.3561319382277705,0.3794623867487072,0.3982061729712215,0.0233304485209367,-0.08217071250863797,Q4
val,P0027,4,val:P0027:4,harbor,7,0,1708.5,105.0,98.0,130.96946716308594,12.04159450531006,42.21483357788563,608.0,1172.0,618.0,1182.0,521.0,1270.0,513.0,1261.0,2346,1774,GoogleEarth,0.223671878369,0.0004105190922013,10.87642231311904,P0027__x0_y750,2,0,750,1024,1.0,1708.5,608.0,422.0,618.0,432.0,521.0,520.0,513.0,511.0,1,0.4793601632118225,0.5731045603752136,2,406.0,0.396484375,0.4482421875,0.00162935256958,2.474555116484744,8,False,0,1,0,0,moyen,30-45,0.0005035400390625,0.05,0.3574667551586895,0.3774713241477772,0.3962853638929713,0.0200045689890877,-0.08226836848690812,Q4
val,P0027,5,val:P0027:5,harbor,7,0,1126.0,63.0,80.0,91.8368148803711,12.206555366516112,55.06068979532297,650.0,1236.0,660.0,1243.0,609.0,1316.0,597.0,1311.0,2346,1774,GoogleEarth,0.223671878369,0.0002705557493817,7.523565176486177,P0027__x0_y750,3,0,750,1024,1.0,1126.0,650.0,486.0,660.0,493.0,609.0,566.0,597.0,561.0,1,0.0,0.6066686511039734,1,364.0,0.35546875,0.3857421875,0.0010738372802734,2.1428347012606856,8,False,0,0,0,0,moyen,45-60,0.0005035400390625,0.05,0.3496066345176608,0.3789722843208951,0.3973726335060351,0.0293656498032343,-0.049108924488590146,Q4
val,P0027,6,val:P0027:6,harbor,7,0,915.5,57.0,76.0,85.21150207519531,10.630146026611328,54.07149757717716,657.0,1251.0,666.0,1258.0,616.0,1327.0,609.0,1319.0,2346,1774,GoogleEarth,0.223671878369,0.0002199767216332,8.016023661563846,P0027__x0_y750,4,0,750,1024,1.0,915.5,657.0,501.0,666.0,508.0,616.0,577.0,609.0,569.0,1,0.0,0.5687472820281982,3,358.0,0.349609375,0.3779296875,0.0008730888366699,2.1990034011310864,8,False,0,0,0,0,petit,45-60,0.0005035400390625,0.05,0.3500264524848234,0.3789722843208951,0.3973947291885173,0.0289458318360716,-0.051838609696269765,Q4
val,P0027,7,val:P0027:7,harbor,7,0,1555.5,62.0,120.0,127.76932525634766,10.198039054870604,65.28920053776979,800.0,1327.0,813.0,1334.0,761.0,1447.0,751.0,1445.0,2346,1774,GoogleEarth,0.223671878369,0.0003737561884221,12.52881309523175,P0027__x0_y750,5,0,750,1024,1.0,1555.5,800.0,577.0,813.0,584.0,761.0,697.0,751.0,695.0,1,0.0,0.4508542120456695,4,211.0,0.2060546875,0.237060546875,0.0014834403991699,2.604821714405072,8,False,0,0,0,0,moyen,60-75,0.0005035400390625,0.05,0.3448398264914564,0.3669351314704248,0.3850845960226067,0.0220953049789683,-0.05136242559384778,Q4
val,P0027,8,val:P0027:8,harbor,7,0,1278.0,42.0,102.0,103.44564056396484,12.369317054748535,73.14160123226172,1013.0,1385.0,1025.0,1388.0,995.0,1487.0,983.0,1484.0,2346,1774,GoogleEarth,0.223671878369,0.0003070783727441,8.363084243543781,P0027__x0_y750,6,0,750,1024,0.9986116651078344,1234.0884769558909,994.823486328125,737.582763671875,983.0001220703124,734.0,1013.1619873046876,634.4658203125,1024.0,638.048583984375,1,0.4823205173015594,0.2508143186569214,8,0.0,0.0,0.0197789072990417,0.0011769184846457,2.2367747494110715,8,False,0,1,0,0,moyen,60-75,0.0005035400390625,0.05,0.3108289797370891,0.3340172029336272,0.3503766229197897,0.023188223196538,-0.17971931658751292,Q3
val,P0075,0,val:P0075:0,swimming-pool,14,0,1504.0,42.0,49.0,46.3249397277832,31.78049659729004,76.26373169437744,218.0,108.0,249.0,101.0,260.0,146.0,224.0,150.0,451,839,GoogleEarth,0.139152881468,0.0039747455660708,1.4576531107991997,P0075__x0_y0,0,0,0,1024,1.0,1504.0,218.0,108.0,249.0,101.0,260.0,146.0,224.0,150.0,1,0.0,0.0,-1,101.0,0.0986328125,0.123291015625,0.001434326171875,0.8992068745772233,2,False,0,0,0,0,moyen,75-90,0.0005035400390625,0.05,0.4184282545208128,0.1946751002733884,0.2166976399850102,-0.2237531542474243,-0.4646521142232931,Q1
