model,task,class_id,class_name,ap50,ap50_95
YOLO26n-HBB-640,hbb,0,plane,0.4145574729954561,0.25793510659263985
YOLO26n-HBB-640,hbb,1,ship,0.38248006944385277,0.18721482188509347
YOLO26n-HBB-640,hbb,2,storage-tank,0.1751484517066242,0.09086356628514215
YOLO26n-HBB-640,hbb,3,baseball-diamond,0.2375061047019103,0.13651463492832758
YOLO26n-HBB-640,hbb,4,tennis-court,0.7088061081188942,0.5534884620951023
YOLO26n-HBB-640,hbb,5,basketball-court,0.030022828460651307,0.018032273285515456
YOLO26n-HBB-640,hbb,6,ground-track-field,0.1767618001517856,0.09954144322730704
YOLO26n-HBB-640,hbb,7,harbor,0.46927098767001113,0.22913354638703226
YOLO26n-HBB-640,hbb,8,bridge,0.1742053496114775,0.07951530767196528
YOLO26n-HBB-640,hbb,9,large-vehicle,0.3606111766008739,0.17261260937783435
YOLO26n-HBB-640,hbb,10,small-vehicle,0.28058685383893023,0.13258000181678614
YOLO26n-HBB-640,hbb,11,helicopter,0.0,0.0
YOLO26n-HBB-640,hbb,12,roundabout,0.22166264511057232,0.11060277240449748
YOLO26n-HBB-640,hbb,13,soccer-ball-field,0.06666314758125147,0.034532393493549224
YOLO26n-HBB-640,hbb,14,swimming-pool,0.162780572890815,0.07656458304858806
YOLO26n-OBB-1024,obb,0,plane,0.5380234752522537,0.3840484979342921
YOLO26n-OBB-1024,obb,1,ship,0.47629405296013455,0.3251868692668332
YOLO26n-OBB-1024,obb,2,storage-tank,0.15719767827643236,0.13048232729607526
YOLO26n-OBB-1024,obb,3,baseball-diamond,0.18073373253242192,0.1337707227613417
YOLO26n-OBB-1024,obb,4,tennis-court,0.6357578085947058,0.5436058462396222
YOLO26n-OBB-1024,obb,5,basketball-court,0.045,0.0315
YOLO26n-OBB-1024,obb,6,ground-track-field,0.24536748967653516,0.16129276276900012
YOLO26n-OBB-1024,obb,7,harbor,0.252473067334015,0.0947382459924609
YOLO26n-OBB-1024,obb,8,bridge,0.23700716814837164,0.1317512802563558
YOLO26n-OBB-1024,obb,9,large-vehicle,0.3633186001888147,0.24865497002917078
YOLO26n-OBB-1024,obb,10,small-vehicle,0.2299430826897858,0.14979364068010906
YOLO26n-OBB-1024,obb,11,helicopter,0.0,0.0
YOLO26n-OBB-1024,obb,12,roundabout,0.3830609136040055,0.23236162108539443
YOLO26n-OBB-1024,obb,13,soccer-ball-field,0.10633015120488505,0.08238340216903965
YOLO26n-OBB-1024,obb,14,swimming-pool,0.2601748644601887,0.14251012202622398
YOLO26n-OBB-640,obb,0,plane,0.47981416890457024,0.3285726912728813
YOLO26n-OBB-640,obb,1,ship,0.39567888344468527,0.19827171963728202
YOLO26n-OBB-640,obb,2,storage-tank,0.16283841771983673,0.08980262322163936
YOLO26n-OBB-640,obb,3,baseball-diamond,0.2143900821362935,0.16204894073962864
YOLO26n-OBB-640,obb,4,tennis-court,0.6892218382070188,0.599939957878254
YOLO26n-OBB-640,obb,5,basketball-court,0.03728857212421649,0.02741281390804458
YOLO26n-OBB-640,obb,6,ground-track-field,0.16373323183509636,0.13311768387709633
YOLO26n-OBB-640,obb,7,harbor,0.3127190604905087,0.12723459704634107
YOLO26n-OBB-640,obb,8,bridge,0.14426387208145608,0.05609530026705868
YOLO26n-OBB-640,obb,9,large-vehicle,0.38006341232221363,0.1267679681688623
YOLO26n-OBB-640,obb,10,small-vehicle,0.19113807432582613,0.11297558603011733
YOLO26n-OBB-640,obb,11,helicopter,0.0,0.0
YOLO26n-OBB-640,obb,12,roundabout,0.04833497865476965,0.03449308551732935
YOLO26n-OBB-640,obb,13,soccer-ball-field,0.05264778442339022,0.03783845949564104
YOLO26n-OBB-640,obb,14,swimming-pool,0.31306421678800495,0.16116887922688095
