Modele,Classe,AP50,AP50-95
YOLO26n-OBB-1024,plane,0.5382774666129252,0.3839067772000292
YOLO26n-OBB-1024,ship,0.46353285353643675,0.31244890452691165
YOLO26n-OBB-1024,storage-tank,0.15853989108581418,0.13153279238694682
YOLO26n-OBB-1024,baseball-diamond,0.18070692604273814,0.13377976137568484
YOLO26n-OBB-1024,tennis-court,0.6359566744045377,0.5437006431461966
YOLO26n-OBB-1024,basketball-court,0.045,0.0315
YOLO26n-OBB-1024,ground-track-field,0.2454440522121259,0.16129321622770654
YOLO26n-OBB-1024,harbor,0.25289269366941736,0.09504912759442738
YOLO26n-OBB-1024,bridge,0.23647991013032968,0.13150277518735765
YOLO26n-OBB-1024,large-vehicle,0.3624310286773962,0.24699132698189558
YOLO26n-OBB-1024,small-vehicle,0.2300992690047408,0.1502033923830503
YOLO26n-OBB-1024,helicopter,0.0,0.0
YOLO26n-OBB-1024,roundabout,0.38430019349194766,0.2329526300133578
YOLO26n-OBB-1024,soccer-ball-field,0.10598313073914592,0.08225619328737241
YOLO26n-OBB-1024,swimming-pool,0.2442565535758645,0.1316925855907611
